,AKK,COBI,RAZONATURA,ICPMX,ASK,MULUK,IHR,CONANP,CONAPESCA,INAPESCA,SEMAR,CECIMS,SCPP.CZ,SCPP.JMA,SCPP.VCH,VigCom.H.PA,VigCom.M.PA,Vig.Com.CZ,PA.1,PA.2,PA.3,PA.4,PA.5,PA.6,PA.7,PA.8,PA.9,PA.10,PA.11,PA.12,PA.13,PA.14,PA.15,PA.16,ME.1,ME.2,ME.3,ME.4,ME.5,ME.6,ME.7,ME.8,ME.9,ME.10,ME.11,ME.12,ME.13,ECOSUR,Consult.Indep.,ICMyL.UNAM,FUND.1,FUND.2,FUND.3,FUND.4,FUND.5,FUND.6,FUND.8,FUND.9,PH.1,PH.2,PH.3,PH.4,PH.5
AKK,0,5,3,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,4,0,4,0,0,4,0,0,0,0,4,4,0,4,0,0,3,0,4,0,4,0,5,0,4,4,0,0,5,5,4,4,0,0,0,0,5,0,0,0,0
COBI,4,0,0,0,0,0,4,3,5,0,0,5,5,5,5,0,0,0,4,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,3,0,4,4,3,0,0,0,0,0,0,0,3,0,3,0,0
RAZONATURA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ICPMX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MULUK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IHR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CONANP,3,4,0,0,0,0,5,0,3,0,0,5,4,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CONAPESCA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INAPESCA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
